TR_Transition,Distance
1,1.2397955813754271
2,1.58021304867843
3,3.2175264818267113
4,8.136192354147386
5,9.612549107587196
6,6.839269877399613
7,5.716512027684547
8,2.119486903128829
9,3.491356430212967
10,4.799875906183863
11,8.924286218969542
12,7.537190105598756
13,1.949142202763208
14,3.4779304183559785
15,6.5366738783722544
16,2.870745718148747
17,5.429194859785436
18,2.0135204535457283
19,3.9669799331801565
20,5.675910944117892
21,4.598658197716376
22,1.040615390223205
23,6.2267968177872
24,11.538234763329983
25,4.654594730271613
26,3.826387839699689
27,12.581204054325676
28,4.109749525763174
29,3.472510063115702
30,2.6273578511761904
31,7.694169252832985
32,1.5802027767775657
33,1.6937763289644656
34,3.415620164959018
35,5.5579356812406475
36,8.093202221864745
37,3.6697403919762355
38,1.965631936697248
39,0.9746677650349542
40,10.96924849440611
41,1.5194137118289344
42,0.5281494459823068
43,5.621318104190725
44,7.349134750026317
45,4.477812807563247
46,2.5011506808528665
47,1.2822879438586396
48,1.5156829449830562
49,3.541804699729377
50,10.316899387087895
51,3.178882784055187
52,3.5233693884530184
53,2.0739730896765045
54,7.142683769265035
55,8.987644568908163
56,3.3928596340703576
57,2.851705786249329
58,3.173369068831697
59,3.8020347909984666
60,2.9711983716168975
61,1.387691892296281
62,1.4188144222386239
63,7.607464510705203
64,15.501902508933195
65,6.717622145550644
66,2.734371701320718
67,1.9735146491713809
68,2.260045031794335
69,4.868396405816897
70,2.6177933712760146
71,6.175633414443077
72,1.4961237089903896
73,4.273722935222341
74,5.794780026954939
75,8.359959850010219
76,0.6154594501789192
77,4.0456943434700205
78,5.142062149239717
79,8.136719290560368
80,2.8798339335985395
81,6.324317257367167
82,4.850237653515307
83,6.5305590572853855
84,2.974365173766434
85,2.4346590684663734
86,1.9932810137021788
87,2.2025757822786627
88,2.240936970223309
89,3.9423758547197028
90,8.584062178377206
91,1.769089824702709
92,1.4367840607534368
93,1.7596774858761994
94,20.173724604644267
95,2.403880792649984
96,3.3689585167250886
97,3.62161794869268
98,5.237030279052982
99,4.99952407271623
100,5.66649779408281
101,5.506779531977607
102,7.363601547841633
103,2.421635145723285
104,3.1790776351956054
105,1.7906064301375084
106,4.812593145698732
107,3.038295690235643
108,9.706509085564912
109,9.43537609235765
110,4.277891704665823
111,0.5991669411016171
112,4.044744152096589
113,6.725938166314498
114,5.6764585241617755
115,8.01514542236295
116,5.012870297056011
117,5.5879465716750465
118,2.8221299449211563
119,1.2553639432502688
120,0.798913087368861
121,0.7740170312726021
122,1.426569918145591
123,4.199994371092074
124,7.176489584223289
125,5.123177126501412
126,2.091103976635556
127,3.8392522496380947
128,2.594294040590756
129,2.264303384467481
130,1.2272350654634705
131,2.176589744231366
132,1.901905355436458
133,7.798507357233286
134,1.7780916923687065
135,1.8890594351604701
136,2.61019200155405
137,7.302422235770387
138,1.6575711589604052
139,1.7735352021295547
140,3.6720433948170355
141,3.789229939042587
142,2.591432397643549
143,1.25137988775514
144,2.4771405843261056
145,5.663529925021778
146,10.93144813842631
147,3.1018008075205343
148,1.4091069066751098
149,2.5212153184005235
150,6.237442644799718
151,3.7726495764373187
152,0.6095316174694762
153,5.959156534991562
154,8.700609286537956
155,3.0849528590462323
156,3.5808623527670504
157,4.327697694047489
158,1.5728715633109678
159,2.2960064380908536
160,1.610696531954132
161,1.5843191190590404
162,2.5623962630931123
163,3.11848663499233
164,6.524955541631932
165,6.999142779702596
166,1.4321141828869208
167,1.5851214427397358
168,5.078325352572473
169,5.871301366002985
170,2.3055797208593445
171,5.367538434712499
172,9.528889471479635
173,7.157523452764259
174,0.941063391704786
175,2.8916695629305136
176,4.285362705381478
177,7.751037813568788
178,0.7876075646018339
179,2.1460605333963936
