MDS1,MDS2,MDS3,MDS4,MDS5,MDS6
-1.11942864504149,3.9983514361917587,-2.1115146462767607,1.556224740594301,0.4354814408661813,0.3909022987253716
-2.854291503748327,4.0201876070171965,-1.6296254930337537,2.4761829299694975,1.3759164280724816,-0.304821327846157
-4.419642499709919,1.5550641887077452,0.08497355776666309,1.678492208454979,1.8724392267862047,-1.5291481137610694
-6.570716078228916,-3.009538374205657,3.318174894034248,0.054344716480871635,2.0574977043115736,-3.4152780117475197
-5.421346358225325,-7.85182061180536,7.171895682063655,-2.3639615739080937,-0.22924546087625977,-4.289213702468319
-0.122303346676775,-9.213496566661874,8.411548403944836,-2.8528362932597258,-3.3290208573629227,-3.481989293331394
6.082334714914325,-7.561665022696685,6.532603099827249,-1.0444178101862398,-5.525465313620585,-1.0304653804342854
10.169335429992701,-4.924377726058778,2.6423187818186196,1.058176018682388,-6.16283698724042,1.1429791753575256
10.846181744395288,-2.6605741369080675,-1.3579343893559965,2.704811060723878,-4.87257936034748,1.658472984283992
8.424274579451968,-1.3232129897937823,-4.802409815934047,2.7413552206219602,-1.7506247645598731,0.9670199011270572
4.166630123235453,-0.482298881746313,-7.813678844832858,0.024483607234093378,2.949549910481585,-0.470211483328064
-0.7844466445006881,0.6691655534396435,-7.060017976890448,-2.6292876591955068,8.317377859562132,-0.6644934394130854
-3.1880435796263527,3.3321411336057056,-5.398213865292673,-1.2210374276530436,10.475483459426576,0.9149732393992187
-2.841507551991021,5.413595511705526,-3.5682349851849193,1.6676896015306035,10.05815607389386,3.5355041486070973
-1.8416958231688063,5.503002437195769,-0.9702925085151951,4.263215403813028,6.8172347501054515,5.718532435140576
-1.2030585098003872,2.515212429394724,1.7669492288297848,4.275594270369746,1.7001923350157722,6.296396778153527
-1.1721199637388071,-1.6121267401412667,4.2672430231673655,0.944756218357104,-2.987983786885331,5.548684491242501
-1.2204126688726185,-4.64470546937289,5.741265415331432,-4.406298371145823,-4.951271918102491,3.7772173736361916
0.7674670208212512,-4.048804469919923,4.9074888099521345,-8.044872686773699,-3.0802553394301913,0.9998559785582865
4.866924990385832,-0.33983259602285265,1.529238849386829,-7.52913204143396,0.3039380458453935,-0.7195729164472189
9.940699270427737,3.2464068432524242,-1.6254114465051412,-4.5344266618547815,2.485632835993699,-2.0427855664048513
13.048318738150032,5.048628108112607,-4.954115295226509,0.1137303572552785,1.2146947083684059,-3.892539952483888
10.976040213157479,3.673074875562829,-6.940656272363221,4.443059874755884,-2.9722150279294404,-3.122054708433742
5.039628506633767,-0.010300198433433282,-5.666596734694679,5.156089156231502,-6.5161951863457475,-1.25516410114336
-1.554195942073512,-3.538204181200376,-3.2301193564972044,3.4262324679181937,-8.054781759507549,-0.5565077836860607
-6.886913014743908,-4.539732328297273,-0.7665546171142504,1.2016957740247198,-7.771904811541022,-1.8029954810208364
-9.469468268828667,-1.409989430206604,3.2434750228262503,-1.373558193334175,-4.610831938769716,-4.931903448700717
-7.794431778698389,3.3666731424453467,5.720687028422988,-3.9503556553720807,0.9143903439729804,-5.824367716775621
-3.7104339966391855,5.415359538068479,6.321275484445747,-6.312107323089409,3.207522233522308,-3.7725025636101464
-1.7858348552400043,3.9998107512151337,6.330497250213812,-7.015564891165173,1.6467354458551362,-1.2135467624648353
-2.76737553388157,1.3184867769084412,6.297265576694484,-6.888553617959049,-0.6774025971303106,1.4287483444260816
-5.787065720620584,-1.4017502842902168,6.152009728224416,-5.737932549554998,-1.7915240038792817,3.6227605903716955
-8.776656591774183,-2.936552717963435,4.464005364603242,-1.72152892836724,-0.37240513047090373,3.872413231301264
-8.921646877551828,-1.4718292587981132,1.696197868434413,4.397270475575389,2.1814134006257357,0.6783302550617474
-6.213601730707226,1.320976619883401,0.021340240307304206,8.648129661608305,3.4223650514777053,-2.4950446701064375
-2.7437476317529503,3.0699485481290743,0.097496430505919,10.668683720229847,3.202221163099657,-3.549577880815371
1.123043334989682,3.957492687552545,0.9498132632767942,9.745557109116946,1.1757691734945626,-2.3753663748486056
3.8761582056728483,3.6054913559008255,1.4212375363811907,7.06611648744416,-2.0318541993818107,1.1906165160748718
5.213909437233523,2.9762909005790164,-0.24714675034645006,1.8829153034423975,-4.793756242280564,6.426742859223449
3.272408825299554,3.686550693270858,-5.00599985046359,-1.904104079064305,-3.40950154812968,7.936114377175468
-0.24509487731856436,4.1351347409658015,-9.26914968825244,-2.781958183485105,1.389399286849487,3.058775716558539
-2.4109302639692616,3.602383428329129,-9.211370403746523,-0.23667314614527274,4.198986876826405,-1.429571911384472
-2.4624890686832663,2.998713565789496,-7.972704616614952,1.2108604542268528,6.043227281235954,-2.949274507024382
-0.11226889845776024,0.684281172902943,-6.081726613428746,0.8556508817822832,7.917200876852738,-1.268978871219001
3.377732744275235,-3.0812207427456837,-2.8281142456491764,-2.3052975784692737,6.435301966398186,4.271774461659646
5.296510638805611,-7.043034808508738,-0.11248506260648798,-4.180030515034979,2.4420667864195997,5.593747783723793
5.690785067082179,-9.919223877370882,0.11033438751132114,-4.855793743202322,1.1293281594630475,3.590296995020318
5.182713621505338,-11.114136885581184,-1.3303898167851822,-4.034663623823419,0.21834639762356872,-1.7271322512476048
3.8587497525587273,-8.785499035641413,-2.68047199574112,-1.453133162140499,-0.9034385579228535,-7.4629787408591906
2.761760982105055,-4.172386013034473,-2.342846188047321,1.228019436163051,-2.4122710860728573,-9.549062325970196
2.758005660173425,0.5464301205508095,-0.2688885042626028,2.9226590255518206,-3.8632465389513073,-7.373744357308359
3.0843143604746945,5.072540905044829,2.990516429351347,2.801099784732924,-5.352446014208125,-1.232293958794364
2.7942488839768123,7.174117715002532,5.027410141539178,0.08159798299296317,-3.689986060260541,5.8558315741105105
1.3293317573855203,5.381394776373181,5.475437854034686,-2.8580344397441335,-1.0626056721784245,9.420793542528184
-0.6224051889141385,1.6379892661704192,3.8346083723298623,-5.670052654641993,1.3393213336765586,8.356706961425042
-2.8795916696426858,-2.714411955899423,0.10315494687534783,-7.81678164857023,2.8829673204003776,2.589372692489077
-4.004238915423973,-4.8583309976785785,-3.9438393870283273,-7.642855688609528,2.1428576171667975,-1.4349410450902753
-4.761687647442988,-4.043705062946718,-7.2838463085420555,-6.695735220701123,0.9148629335417663,-2.0056597967442764
-5.68616360721926,-1.3995506087952103,-8.168785427635552,-5.032882566907092,-0.015970819914052633,-0.1118807608133433
