MDS1,MDS2
-1.4024847503405349,-15.708751560385341
1.4964105129710379,-18.954487331703145
2.659621910632574,-17.63582310414204
0.5801254157711518,-12.504533930066522
-3.633765825960192,-6.19221250703797
-7.380145811132464,-0.9448002840740631
-8.148229033018184,2.4522689997640508
-4.241436941014048,5.152696339181739
2.098861850156525,6.420550093402592
7.596369864579429,5.732377385770587
10.06164094247838,4.980817514868822
10.568675015787454,3.9512464690352345
10.540808768229228,2.5192378691906976
10.997710626221874,1.6155837145650775
11.503660439227096,1.922901313764318
10.245756265281766,3.1918378149031343
6.39695023286281,4.476997887530677
0.5140402162146699,5.259325546938262
-4.631520863068008,4.819926691386146
-5.958055778669884,3.530679038539344
-2.746539919723496,1.8998176161618952
2.494155387821431,1.3721984503737539
6.43853559179715,2.0795697177737167
5.931415623152777,3.245561060926041
0.18218808338166392,4.147863865161938
-9.021434362326076,4.318861636994896
-17.448811680443377,4.322295126687761
-22.147650094236436,4.362327012305175
-21.356242814609637,4.922419169052216
-16.022625261283093,5.506034064840466
-8.77930608847844,5.245892282997822
-1.5608637339349787,3.5416152077276455
2.763445205634819,0.32087827547347797
4.379255045810559,-3.2638298228356506
4.210934630279704,-6.074806113010474
3.6922004076805948,-7.198719972073186
4.460035549327769,-6.252494935010902
6.942263080389755,-5.088917373447377
10.446586947210264,-4.67405530275337
12.266809271838149,-5.075208832536333
10.50832975901394,-6.1074960314792115
5.8765251978389035,-7.009123954005947
0.5547352882447786,-7.395258009241333
-3.086291576660423,-7.049393819149589
-4.141419764268825,-5.981694491130666
-3.6714778745003027,-4.796220287169982
-3.819695154920152,-3.7749892518639463
-6.154585865133359,-2.636450712352377
-9.649430823926266,-1.5260366130905225
-11.180103888504483,-0.7568371445879662
-8.194102728616643,-0.46995110915362004
-0.6050589355007716,-1.0338330116832757
7.901633349307639,-2.223998860177107
12.59398226254213,-3.274316114541231
10.62809881980561,-3.4491444159409212
3.7486703981704146,-2.435371531474373
-3.432446313884624,0.3003964049031825
-6.287215543267724,2.8996664892651625
-2.7039625527057147,4.464305430795583
4.267940941151791,4.649664070582693
9.727137713842312,3.8068540558075807
10.709398878832747,2.614050982167254
7.6978412375173075,2.198340112094717
3.9398838448135782,3.144436958692958
2.5632510753182083,4.519495451597884
4.116113216417835,5.420244459717863
6.345851057208747,5.238079302317796
6.155774144658744,4.732240846751041
2.1595883106993696,4.681573627331487
-3.622468585460862,5.596519101507145
-7.860806002216409,6.792543775967326
-7.241337064614031,7.706548427151835
-2.4500600183520604,7.2465434963730875
2.5916995481294856,5.126204352876571
4.486529186557785,1.8241887794600322
