MDS1,MDS2,MDS3
-8.007377155309438,7.594337936448478,-4.512907769747415
-11.27370066137183,10.559008902752916,-4.268051834018033
-11.592880359325596,10.534581369983629,-1.4089595347445463
-9.991844025257954,8.472696032109695,2.5890584611413185
-8.18425628097659,5.369473410448749,6.340962368170482
-6.790481164631449,2.455765919590335,7.234820116426199
-6.298964829778862,0.7661364163783253,5.068595629653902
-6.659144898591358,1.2208480171207856,2.512905632744824
-6.931957123929973,3.3437530565408804,1.3050695718646725
-5.677964191457085,5.4538758867393105,1.4231566054442042
-3.8053750470102203,5.669899112765234,2.851874408569209
-1.8161099987998957,5.182738787601915,3.610672971731172
0.3832587806678768,4.536239258637504,3.2080800095533557
3.3116464798201504,3.841898175170832,1.7838948519762405
6.739103590821942,3.3751494276981946,0.21947992491408533
9.755236443858154,1.585761274543924,0.08783363359418987
10.53588865067901,-0.7970728260556226,0.5020906053523406
9.096033598639464,-3.64677813681409,1.215778692666842
6.219839760209694,-6.788831886729171,0.7611255089749872
2.4437374116665764,-8.749762927346685,-2.475792540184258
0.2158992994007438,-7.458665563196958,-5.370128092348557
1.9332072931545932,-4.9986524498749585,-5.352886050448538
5.187259807870975,-2.5314534341772634,-2.7578157076510816
7.410926429475017,-1.6837225849121358,-0.9639947449345587
8.653183040972525,-1.991861868533474,-0.49136884974474615
8.780278808143974,-2.433963671434574,-1.6203246082230853
7.946263016746497,-2.1711302337900538,-3.981438149031856
7.3013942983555316,-1.5083297656634032,-6.29935199430082
7.496832457783005,-1.3376021929037634,-8.343346886495489
7.294044334185993,-2.0375408502805024,-9.45473783251798
5.302236055016867,-2.9540249874751776,-8.606116590797166
2.0834038930993737,-2.573012965920633,-5.966584204898234
-0.8076831124424403,-1.5196351828488008,-3.4900204100419887
-2.3605529953121778,0.2048975009513426,-2.5355784409616886
0.870921793817875,1.8157408277120437,9.439296611779612
4.233883939601516,0.989639143344407,13.023923304942866
4.909348796546007,-2.628343568215785,15.016073673596862
2.1711177871480887,-7.494176747350633,14.809980755277625
-3.0469612738132974,-11.854725892516946,12.929953671102467
-9.762546726153866,-14.804573298229977,9.04949264711917
-14.69653743267831,-14.473697701514501,3.105633688578986
-16.353361551548996,-10.626950402839878,-2.091775356289796
-15.996576234819283,-5.605898944371813,-4.679053737898138
-15.558782951924046,-1.2832355405110099,-5.054104184258176
-15.312165940669269,2.431561829107506,-4.871489403936699
-14.023493455995833,6.10821911296032,-5.01813791462648
-10.911129159209402,9.25186610723867,-5.284776814585592
-6.3494674845933625,11.498264552684995,-4.999626620015408
-2.091411325002314,11.808386842612295,-4.178264795039339
0.05184542709549916,9.690690629430522,-2.5284693864482115
-1.2116545151345894,6.009940712396885,-0.12063275766412924
-5.08754882212394,2.3400639468793485,3.1686598853241508
-8.263802188158744,0.3768279302615543,5.163166238488973
-7.167118487244266,1.48476917544636,5.589238762891432
-2.264882130088628,3.8575006642318765,5.7139678296108
4.625338367903015,6.3423646234273745,4.865606552463307
9.249176450069301,6.49108388149956,2.2987510259915047
10.696396762741845,4.726616853669491,-0.6848810517643554
10.191211554770637,2.213689513291756,-4.461659785084258
8.7884740631229,0.826464531202654,-4.610174293679492
7.041628064440545,1.1825563324629205,0.2050150594440324
