TR_Transition,Distance
1,5.2686272626654835
2,5.594115355757744
3,5.73033788292586
4,7.659098162097776
5,9.841715013218064
6,9.45743850090276
7,5.944430559599639
8,5.871625503297987
9,8.991298337529223
10,10.128476485318263
11,6.704067479598178
12,1.1877795271753813
13,3.229925553217391
14,5.3083275245964785
15,3.6212819308673856
16,1.5433912007827377
17,3.2079919176478118
18,4.305192744114898
19,2.4799004953387476
20,1.8752186198854908
21,4.574458064738626
22,7.098191410666197
23,5.812246593834449
24,2.7956347768734235
25,2.8332150221323884
26,5.615718274200237
27,6.582705722394318
28,2.913587196657227
29,2.848809358903606
30,5.172297636794904
31,4.610341618478914
32,3.400169865301852
33,4.48965605514113
34,3.5432694784359127
35,1.3688692287403175
36,3.069993584478429
37,3.856328254047282
38,1.0778158292620776
39,4.047131131729442
40,8.267474542953993
41,3.1044059650292133
42,5.416341454623114
43,5.3157930066967225
44,6.364885885895011
45,9.482384399841417
46,10.491371244399158
47,7.026862763623152
48,5.490281320683334
49,8.011354372115587
50,6.658634077324388
51,7.028771472740681
52,10.11834024698148
53,9.833934561742659
54,7.669136613748003
55,13.906034803791096
56,17.551636266821248
57,11.945598924517718
58,7.887903387958552
59,14.504986606470187
60,17.31074432173105
61,8.86673662650047
62,9.29136397268727
63,13.081471432487405
64,10.1719326830153
65,8.793781836008288
66,11.835357692896777
67,7.757619609271691
68,9.415434003878788
69,17.327272952259182
70,17.228755232422234
71,10.693196810401878
72,17.725192990391797
73,24.345338707341746
74,19.964602704401475
75,11.123195363236647
76,16.040638213673535
77,18.670538451417237
78,12.289989834492976
79,9.39073018051316
80,13.893752814378766
81,11.668795388404417
82,4.624249111114522
83,6.402918094380599
84,7.252780948419789
85,4.026939815032552
86,2.443640297348882
87,3.1074304228556153
88,1.5102011857071314
89,3.119472873195431
90,6.169800263270999
91,4.7087378887265565
92,4.305321394271353
93,4.854177017304137
94,7.5449316090143705
95,8.908195855892256
96,7.38299678791019
97,3.7212573991812006
98,6.930251226780385
99,10.0241859313745
100,7.4300051836805485
101,3.764534233267104
102,8.253472661870628
103,9.263680304542063
104,7.07281912361699
105,7.07768715945883
106,8.020927955468458
107,7.254929101287742
108,5.6270281050936495
109,4.3831020986509746
110,2.3538868763125835
111,2.496417684924258
112,5.416622168704276
113,5.49011479843924
114,1.8052266913314012
115,1.332808845723491
116,4.7864316791905726
117,7.452783700690355
118,7.2733686937818955
119,5.07892296146063
120,6.624380060639168
121,8.175084316963284
122,10.248618888828739
123,11.951475698923064
124,10.404253971377985
125,9.155485767145235
126,14.464462161766397
127,17.677750726041207
128,14.519787034698258
129,12.446457065590728
130,17.232021598184335
131,17.715819030177283
132,14.594666653748504
133,15.944612885371283
134,17.44811373328887
135,13.438176867856637
136,12.567941454196701
137,17.07542671939393
138,13.664681397058597
139,7.550621590002641
140,13.140211689522731
141,16.084316149722373
142,10.060142248722148
143,10.61436523951809
144,16.770000930191642
145,15.88498004769031
146,10.094515901107574
147,11.411679496145272
148,13.679754875300134
149,11.266280930956079
150,7.753101217453139
151,7.588660123148401
152,2.791184135006963
153,7.385118733370502
154,6.211499059273664
155,2.0058895148876963
156,4.822403489507742
157,7.545436227109577
158,3.7835912549194024
159,3.809345513049832
160,9.254356111987832
161,7.7724745359889695
162,2.210329241144682
163,9.947763276245169
164,12.213872320726749
165,7.331033679357021
166,4.725607790678474
167,11.1093026886505
168,13.04225724186224
169,5.752486773538311
170,4.707228608823846
171,8.157957192605014
172,6.857013705711157
173,4.084443738915868
174,1.1085220895155412
175,1.6997727495052755
176,1.4795294813165816
177,0.8839837984104502
178,1.344751987692486
179,3.8694910713044615
